,Favored Team Cover,Favored Team,Spread,Fav Court,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Cover,Underdog Team,Spread 2,Underdog Court,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%
1,0,Duke,"Duke -5.2, 89-84 (67%)",N,75.19999999999999,86.98,130.04000000000002,122.72,56.300000000000004,89.47999999999999,41.84,1,Gonzaga,"Duke -5.2, 89-84 (67%)",N,78.8,96.66,119.08,124.92,59.32000000000001,93.74,45.67999999999999
2,1,Gonzaga,"Gonzaga -5.0, 88-83 (66%)",A,75.9,96.54,126.38,127.52000000000001,63.02,97.41,44.64,0,Creighton,"Gonzaga -5.0, 88-83 (66%)",H,72.2,100.75,122.97999999999999,119.94,64.6,101.81,53.17
