Favored Team Cover,Favored Final Spread,Favored Team Rank,Spread,Fav Tempo,Fav ADJO,Fav ADJD,Fav O - PPP,Fav O - EFG%,Fav D - PPP,Fav D - EFG%,Underdog Team Rank,Underdog Tempo,Underdog ADJO,Underdog ADJD,Underdog O - PPP,Underdog O - EFG%,Underdog D - PPP,Underdog D - EFG%,Fav Court_H,Fav Court_N,Favored Team Predicted Win
0,-11,8,"Texas Tech -4.2, 63-58 (69%)",67.82857143,84.46571429,104.9542857,101.9142857,50.81142857,86.90857143,42.08,72,66.49230769,98.68,109.0184615,107.3215385,49.51846154,101.1661538,52.53384615,0,0,4.2
0,-13,11,"Texas Tech -0.5, 57-56 (52%)",67.37333333,86.75333333,105.2186667,101.2106667,51.156,92.20133333,44.39733333,42,64.14666667,85.95466667,109.4373333,102.3093333,49.06133333,91.28266667,49.344,0,0,0.5
0,3,16,"Texas Tech -10.4, 72-62 (86%)",66.65,86.84,100.0275,94.6775,48.475,92.265,45.785,69,74.78666667,98.36933333,105.904,102.4266667,50.83733333,104.128,53.036,1,0,10.4
1,19,16,"Texas Tech -3.9, 67-63 (67%)",66.28235294,87.50470588,101.8411765,95.86,51.66588235,92.21882353,45.94823529,19,67.275,88.4275,106.7675,99.2,49.115,92.615,45.3325,1,0,3.9
0,-16,12,"Kansas -2.8, 67-64 (62%)",65.8,88.22,109.4355556,103.16,53.59333333,91.05111111,46.46666667,17,69.53333333,94.22888889,112.6311111,103.9466667,51.39333333,103.8755556,48.54444444,0,0,2.8
1,12,15,"Texas Tech -0.2, 66-65 (51%)",69.44,86.644,110.03,106.726,53.116,88.656,43.556,42,69.42,97.454,103.642,97.644,46.508,105.318,50.908,0,0,0.2
1,28,10,"Texas Tech -4.8, 66-61 (70%)",69.94285714,82.02,104.8771429,100.58,51.2952381,84.74285714,41.27047619,72,64.38,107.922,114.808,104.218,51.56,115.212,54.812,0,0,4.8
1,25,10,"Texas Tech -8.8, 67-59 (83%)",67.63636364,77.82363636,112.1381818,108.5218182,55.72363636,79.94181818,38.54909091,36,63.97142857,100.7819048,114.4609524,106.4114286,51.55238095,104.4495238,49.53904762,1,0,8.8
1,29,9,"Texas Tech -5.6, 69-64 (73%)",65.95652174,81.12695652,117.2052174,112.8756522,54.31043478,84.64608696,41.68347826,11,73.0173913,89.79478261,114.7382609,109.6773913,54.81826087,94.66434783,45.4426087,1,0,5.6
0,4,6,"Texas Tech -17.0, 74-57 (95%)",64.91666667,85.00333333,127.085,122.485,58.91833333,88.465,44.75333333,101,64.51666667,103.235,106.055,95.28,45.92333333,111.6083333,55.24833333,1,0,17
1,27,20,"Villanova -5.6, 73-68 (71%)",66,67.35,85.6,90.3,40.35,61.4,33.85,13,72.5,96.8,116.8,128.4,57.8,89,44.2,0,0,5.6
1,19,7,"Michigan -7.1, 72-65 (77%)",67,72,100.84,101.54,48,69.34,35.96,50,66.6,105.78,114.38,114.62,56.7,103.78,52.16,0,1,7.1
1,17,6,"Michigan -4.9, 79-74 (68%)",66.33333333,77.91333333,108.54,109.2533333,51.76,74.86666667,37.12,7,78.9,96.46,119.66,121.39,56.3,96.09,48.37,1,0,4.9
1,19,4,"Michigan -8.3, 71-62 (81%)",66.8,79.17,113.02,111.48,54.53,78.85,38.25,18,69.7,95.58,122.1,118.5,57.34,96.85,50.34,1,0,8.3
0,2,3,"Michigan -4.8, 65-61 (71%)",66.2,79.844,118.084,115.204,56.384,82.692,40.28,37,68,90.332,108.108,106.716,51.044,90.928,49.156,0,0,4.8
0,11,2,"Michigan -17.5, 74-57 (96%)",65.06666667,82.46,119.1066667,111.9266667,55.26,86.55333333,42.34,88,75.8,96.052,97.764,95.964,45.512,96.38,48.92,1,0,17.5
1,13,4,"Michigan -12.4, 68-56 (91%)",65.44,89.684,106.964,111.224,54.048,84.116,45.576,59,67.84,95.856,107.436,104.876,49.476,96.12,48.332,1,0,12.4
0,11,3,"Michigan -11.3, 72-61 (88%)",66.47272727,84.87272727,107.1236364,108.9709091,53.75454545,81.22181818,44.12909091,33,72.56363636,90.84727273,107.9309091,112.2054545,60.04545455,86.44,44.66363636,1,0,11.3
